Job Title Categories;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
data scientist;3.8;Tecolote Research;Company - Private;Aerospace & Defense;Aerospace & Defense;$50 to $100 million (USD);-1;0;1;0;0;53.0;53.0;53.0;Albuquerque; NM;Goleta; CA;0;0;4.0;49;0;1;0;0;0
data scientist;3.4;University of Maryland Medical System;Other Organization;Health Care Services & Hospitals;Health Care;$2 to $5 billion (USD);-1;0;1;0;0;63.0;63.0;63.0;Linthicum; MD;Baltimore; MD;1;0;7.0;38;0;1;0;0;0
data scientist;4.8;KnowBe4;Company - Private;Security Services;Business Services;$100 to $500 million (USD);-1;0;1;0;0;80.0;80.0;80.0;Clearwater; FL;Clearwater; FL;1;1;4.0;12;0;1;1;0;1
data scientist;3.8;PNNL;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory;0;1;0;0;56.0;56.0;56.0;Richland; WA;Richland; WA;1;1;5.0;57;0;1;0;0;0
data scientist;2.9;Affinity Solutions;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;Commerce Signals, Cardlytics, Yodlee;0;1;0;0;86.0;86.0;86.0;New York; NY;New York; NY;1;1;2.0;24;0;1;0;0;0
data scientist;3.4;CyrusOne;Company - Public;Real Estate;Real Estate;$1 to $2 billion (USD);Digital Realty, CoreSite, Equinix;0;1;0;0;71.0;71.0;71.0;Dallas; TX;Dallas; TX;1;1;3.0;22;1;1;0;0;0
data scientist;4.1;ClearOne Advantage;Company - Private;Banks & Credit Unions;Finance;Unknown / Non-Applicable;-1;0;1;0;0;54.0;54.0;54.0;Baltimore; MD;Baltimore; MD;1;1;4.0;14;0;0;0;0;0
data scientist;3.8;Logic20/20;Company - Private;Consulting;Business Services;$25 to $50 million (USD);-1;0;1;0;0;86.0;86.0;86.0;San Jose; CA;Seattle; WA;0;0;3.0;17;1;1;0;0;1
na;3.3;Rochester Regional Health;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1;0;1;0;0;38.0;38.0;38.0;Rochester; NY;Rochester; NY;1;1;7.0;8;0;0;0;0;1
data scientist;4.6;<intent>;Company - Private;Internet;Information Technology;$100 to $500 million (USD);Clicktripz, SmarterTravel;0;1;0;0;120.0;120.0;120.0;New York; NY;New York; NY;1;1;2.0;13;0;1;0;0;0
data scientist;3.5;Wish;Company - Private;Other Retail Stores;Retail;$1 to $2 billion (USD);-1;0;1;0;0;126.0;126.0;126.0;San Jose; CA;San Francisco; CA;1;0;4.0;11;0;1;0;0;0
data scientist;4.1;ManTech;Company - Public;Research & Development;Business Services;$1 to $2 billion (USD);-1;0;1;0;0;64.0;64.0;64.0;Chantilly; VA;Herndon; VA;1;0;6.0;54;0;0;0;0;0
data scientist;3.2;Walmart;Company - Public;Department, Clothing, & Shoe Stores;Retail;$10+ billion (USD);Target, Costco Wholesale, Amazon;0;1;0;0;106.0;106.0;106.0;Plano; TX;Bentonville; AR;0;0;7.0;60;0;0;0;0;0
data analyst;4.1;Yesler;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;46.0;46.0;46.0;Seattle; WA;Seattle; WA;1;1;3.0;10;1;1;0;0;0
data scientist;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;83.0;83.0;83.0;Cambridge; MA;OSAKA; Japan;0;0;7.0;241;0;1;0;0;1
data engineer;3.6;Audible;Subsidiary or Business Segment;Motion Picture Production & Distribution;Media;Unknown / Non-Applicable;-1;0;1;0;0;102.0;102.0;102.0;Newark; NJ;Newark; NJ;1;1;5.0;27;0;0;0;0;0
na;3.9;Blueprint Medicines;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD);bluebird bio, Agios Pharmaceuticals, Celgene;0;1;0;0;67.0;67.0;67.0;Cambridge; MA;Cambridge; MA;1;1;2.0;11;0;0;0;0;1
data scientist;4.3;h2o.ai;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;118.0;118.0;118.0;Mountain View; CA;Mountain View; CA;1;1;3.0;11;1;1;0;1;0
data scientist;4.2;Nuna;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;110.0;110.0;110.0;San Francisco; CA;San Francisco; CA;1;1;2.0;12;0;0;0;1;0
data scientist;4.0;Pinnacol Assurance;Nonprofit Organization;Insurance Carriers;Insurance;$500 million to $1 billion (USD);-1;0;1;0;0;64.0;64.0;64.0;Denver; CO;Denver; CO;1;1;4.0;107;0;1;1;1;0
data scientist;3.2;Porch;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;Angie's List, HomeAdvisor, Thumbtack;0;1;0;0;81.0;81.0;81.0;Seattle; WA;Seattle; WA;1;1;3.0;10;0;1;1;0;0
data scientist;3.9;Health IQ;Company - Private;Insurance Agencies & Brokerages;Insurance;Unknown / Non-Applicable;-1;0;1;0;0;73.0;73.0;73.0;Dallas; TX;Mountain View; CA;0;0;3.0;9;0;0;0;0;1
data scientist;3.8;Truckstop.com;Company - Private;Logistics & Supply Chain;Transportation & Logistics;Unknown / Non-Applicable;-1;0;1;0;0;86.0;86.0;86.0;Chicago; IL;New Plymouth; ID;0;0;4.0;27;1;1;0;0;1
data scientist;4.3;SMC 3;Nonprofit Organization;Logistics & Supply Chain;Transportation & Logistics;$10 to $25 million (USD);-1;0;1;0;0;63.0;63.0;63.0;Louisville; KY;Peachtree City; GA;0;0;2.0;87;0;1;0;0;0
data scientist;4.0;Novetta;Company - Private;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD);Leidos, CACI International, Booz Allen Hamilton;0;1;0;0;109.0;109.0;109.0;Herndon; VA;Mc Lean; VA;1;0;4.0;10;1;1;0;0;0
data scientist;4.0;Pfizer;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);-1;0;1;0;0;63.0;63.0;63.0;Cambridge; MA;New York; NY;0;0;7.0;173;1;1;0;0;0
data scientist;3.5;First Tech Federal Credit Union;Company - Private;Banks & Credit Unions;Finance;$100 to $500 million (USD);-1;0;1;0;0;75.0;75.0;75.0;Hillsboro; OR;San Jose; CA;0;0;5.0;70;1;1;0;0;0
data analyst;3.7;The Hanover Insurance Group;Company - Public;Insurance Carriers;Insurance;$5 to $10 billion (USD);-1;0;1;0;0;34.0;34.0;34.0;Worcester; MA;Worcester; MA;1;1;6.0;170;0;0;0;0;0
data scientist;4.0;Pfizer;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);-1;0;1;0;0;63.0;63.0;63.0;Groton; CT;New York; NY;0;0;7.0;173;1;0;0;0;0
data scientist;4.8;KnowBe4;Company - Private;Security Services;Business Services;$100 to $500 million (USD);-1;0;1;0;0;80.0;80.0;80.0;Clearwater; FL;Clearwater; FL;1;1;4.0;12;0;1;1;0;1
data scientist;3.8;PNNL;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory;0;1;0;0;56.0;56.0;56.0;Richland; WA;Richland; WA;1;1;5.0;57;0;1;0;0;0
data scientist;3.6;Amrock;Company - Private;Real Estate;Real Estate;$500 million to $1 billion (USD);-1;0;1;0;0;72.0;72.0;72.0;Detroit; MI;Detroit; MI;1;1;5.0;25;0;1;0;0;0
data scientist;3.8;Novartis;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);-1;0;1;0;0;86.0;86.0;86.0;Cambridge; MA;Basel; Switzerland;0;0;7.0;26;0;1;0;0;0
data scientist;3.8;Juniper Networks;Company - Public;Telecommunications Services;Telecommunications;$2 to $5 billion (USD);-1;0;1;0;0;93.0;93.0;93.0;Sunnyvale; CA;Sunnyvale; CA;1;1;6.0;26;0;1;1;0;0
data scientist;4.7;New England Biolabs;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;Thermo Fisher Scientific, Enzymatics, Illumina;0;1;0;0;85.0;85.0;85.0;Ipswich; MA;Ipswich; MA;1;1;3.0;48;0;1;0;0;0
data analyst;4.2;Clarity Insights;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;77.0;77.0;77.0;San Jose; CA;Chicago; IL;0;0;3.0;14;0;1;0;0;0
data scientist;3.5;Esri;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Pitney Bowes;0;1;0;0;82.0;82.0;82.0;Redlands; CA;Redlands; CA;1;1;5.0;53;1;1;0;0;1
data scientist;4.7;Systems & Technology Research;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD);-1;0;1;0;0;83.0;83.0;83.0;Woburn; MA;Woburn; MA;1;1;3.0;12;0;1;0;0;1
data scientist;3.5;Sartorius;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);-1;0;1;0;0;115.0;115.0;115.0;Fremont; CA;Gottingen; Germany;0;0;6.0;152;0;1;0;0;0
data engineer;3.5;Lancer Insurance;Company - Private;Insurance Carriers;Insurance;$100 to $500 million (USD);-1;0;1;0;0;74.0;74.0;74.0;Long Beach; NY;Long Beach; NY;1;1;3.0;37;0;1;1;0;0
data analyst;4.2;Sauce Labs;Company - Private;IT Services;Information Technology;$50 to $100 million (USD);BrowserStack, Selenium Master, Perfecto Mobile;0;1;0;0;64.0;64.0;64.0;San Francisco; CA;San Francisco; CA;1;1;3.0;14;1;1;0;0;0
data engineer;3.6;Persivia;Company - Private;-1;-1;Less than $1 million (USD);-1;0;1;0;0;68.0;68.0;68.0;Marlborough; MA;Lowell; MA;1;0;;-1;0;0;0;0;0
data scientist;4.2;Nuna;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;110.0;110.0;110.0;San Francisco; CA;San Francisco; CA;1;1;2.0;12;0;0;0;0;1
na;3.4;Edgewell Personal Care;Company - Public;Consumer Products Manufacturing;Manufacturing;$2 to $5 billion (USD);Unilever, Procter & Gamble, Henkel;0;1;0;0;52.0;52.0;52.0;Allendale; NJ;Shelton; CT;0;0;6.0;7;1;0;0;0;0
data scientist;4.3;Equity Residential;Company - Public;Real Estate;Real Estate;$2 to $5 billion (USD);UDR, AvalonBay Communities, Essex Property Trust;0;0;1;0;110.0;110.0;110.0;Chicago; IL;Chicago; IL;1;1;5.0;29;0;1;0;0;1
data scientist;5.0;BPA Services;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;0;0;1;150.0;150.0;150.0;Washington; DC;Alexandria; VA;0;0;0.0;-1;1;0;0;0;0
data scientist;3.7;Visa Inc.;Company - Public;IT Services;Information Technology;$10+ billion (USD);American Express, Mastercard, Discover;0;1;0;0;158.0;158.0;158.0;Bellevue; WA;Foster City; CA;0;0;7.0;64;0;1;0;0;0
data analyst;3.1;Intrado;Company - Private;Enterprise Software & Network Solutions;Information Technology;$2 to $5 billion (USD);-1;0;1;0;0;20.0;20.0;20.0;Longmont; CO;Omaha; NE;0;0;6.0;36;0;0;0;0;0
na;4.7;Centauri;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD);TASC, Vencore, Booz Allen Hamilton;0;1;0;0;56.0;56.0;56.0;Beavercreek; OH;Chantilly; VA;0;0;4.0;23;0;0;0;0;1
data scientist;3.7;Caterpillar;Company - Public;Industrial Manufacturing;Manufacturing;$10+ billion (USD);John Deere, Komatsu, CNH Industrial;0;1;0;0;63.0;63.0;63.0;Peoria; IL;Deerfield; IL;1;0;7.0;97;0;0;0;0;0
data scientist;3.8;Zimmerman Advertising;Subsidiary or Business Segment;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;68.0;68.0;68.0;Fort Lauderdale; FL;Fort Lauderdale; FL;1;1;4.0;38;0;1;0;0;0
data scientist;3.3;Liberty Mutual Insurance;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);Travelers, Allstate, State Farm;0;1;0;0;86.0;86.0;86.0;Boston; MA;Boston; MA;1;1;7.0;110;0;1;0;1;0
data scientist;4.6;Torch Technologies, Inc.;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD);-1;0;1;0;0;41.0;41.0;41.0;Huntsville; AL;Huntsville; AL;1;1;5.0;20;0;1;0;0;0
data scientist;3.7;Swiss Re;Company - Public;Insurance Agencies & Brokerages;Insurance;$10+ billion (USD);Munich Re, Hannover RE, SCOR;0;1;0;0;86.0;86.0;86.0;Armonk; NY;Zurich; Switzerland;0;0;7.0;159;0;1;1;0;1
data scientist;3.7;Northrop Grumman;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);-1;0;1;0;0;80.0;80.0;80.0;San Diego; CA;Falls Church; VA;0;0;7.0;83;0;0;0;0;0
data scientist;3.5;Sartorius;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);-1;0;1;0;0;56.0;56.0;56.0;Albuquerque; NM;Gottingen; Germany;0;0;6.0;152;0;1;0;0;0
data scientist;4.1;Netskope;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;Skyhigh Networks, Zscaler, NortonLifeLock;0;1;0;0;120.0;120.0;120.0;San Francisco; CA;Santa Clara; CA;1;0;4.0;10;0;1;0;0;1
data scientist;4.7;1904labs;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;Slalom, Daugherty Business Solutions;0;1;0;0;111.0;111.0;111.0;Saint Louis; MO;Saint Louis; MO;1;1;2.0;6;0;1;0;0;0
data scientist;4.1;ClearOne Advantage;Company - Private;Banks & Credit Unions;Finance;Unknown / Non-Applicable;-1;0;1;0;0;54.0;54.0;54.0;Baltimore; MD;Baltimore; MD;1;1;4.0;14;0;0;0;0;0
data scientist;3.4;CyrusOne;Company - Public;Real Estate;Real Estate;$1 to $2 billion (USD);Digital Realty, CoreSite, Equinix;0;1;0;0;71.0;71.0;71.0;Dallas; TX;Dallas; TX;1;1;3.0;22;1;1;0;0;0
data scientist;4.4;The David J. Joseph Company;Subsidiary or Business Segment;Metals Brokers;Mining & Metals;Unknown / Non-Applicable;-1;0;1;0;0;82.0;82.0;82.0;Cincinnati; OH;Cincinnati; OH;1;1;3.0;137;1;1;0;0;0
data scientist;4.3;USEReady;Company - Private;Consulting;Business Services;$10 to $25 million (USD);-1;0;1;0;0;84.0;84.0;84.0;New York; NY;New York; NY;1;1;3.0;11;1;1;0;0;0
data scientist;3.8;Bill.com;Company - Public;Financial Transaction Processing;Finance;$50 to $100 million (USD);-1;0;1;0;0;107.0;107.0;107.0;Palo Alto; CA;Palo Alto; CA;1;1;4.0;16;0;0;0;0;1
data scientist;3.8;Pacific Northwest National Laboratory;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory;0;1;0;0;49.0;49.0;49.0;Richland; WA;Richland; WA;1;1;5.0;57;0;0;1;0;0
data scientist;3.8;DICK'S Sporting Goods - Corporate;Company - Public;Sporting Goods Stores;Retail;$5 to $10 billion (USD);REI, Academy Sports + Outdoors, Cabela's;0;1;0;0;61.0;61.0;61.0;Coraopolis; PA;Coraopolis; PA;1;1;7.0;74;0;1;1;0;0
data scientist;2.8;Berg Health;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD);-1;0;1;0;0;88.0;88.0;88.0;Framingham; MA;Framingham; MA;1;1;2.0;16;0;1;0;0;1
data scientist;4.7;Oversight Systems;Company - Private;Computer Hardware & Software;Information Technology;$25 to $50 million (USD);-1;0;1;0;0;60.0;60.0;60.0;Atlanta; GA;Atlanta; GA;1;1;2.0;19;0;1;0;0;0
data scientist;3.1;C Space;Company - Public;Advertising & Marketing;Business Services;$100 to $500 million (USD);IDEO, Gongos, Inc., Ipsos;0;1;0;0;41.0;41.0;41.0;Boston; MA;Boston; MA;1;1;3.0;23;0;1;0;0;0
data scientist;3.2;Numeric, LLC;Company - Private;Staffing & Outsourcing;Business Services;$5 to $10 million (USD);-1;0;1;0;0;96.0;96.0;96.0;Philadelphia; PA;Chadds Ford; PA;1;0;;-1;1;1;0;0;0
na;4.0;HP Inc.;Company - Public;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;65.0;65.0;65.0;Vancouver; WA;Palo Alto; CA;0;0;7.0;83;0;0;1;0;0
na;4.4;SpringML;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;52.0;52.0;52.0;Indianapolis; IN;Pleasanton; CA;0;0;;7;0;1;0;0;0
data scientist;3.6;Grainger;Company - Public;Wholesale;Business Services;$10+ billion (USD);-1;0;1;0;0;139.0;139.0;139.0;Lake Forest; IL;Lake Forest; IL;1;1;7.0;95;0;1;0;0;0
na;2.7;EAG Laboratories;Subsidiary or Business Segment;Research & Development;Business Services;$50 to $100 million (USD);-1;0;1;0;0;50.0;50.0;50.0;Maryland Heights; MO;San Diego; CA;0;0;4.0;44;0;0;0;0;0
data scientist;3.9;The Buffalo Group;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);ManTech, Booz Allen Hamilton, Leidos;0;1;0;0;85.0;85.0;85.0;Charlottesville; VA;Reston; VA;1;0;4.0;12;0;1;0;0;1
data scientist;3.1;Carmeuse;Company - Private;Mining;Mining & Metals;$1 to $2 billion (USD);Lhoist, Graymont, Sibelco Group;0;1;0;0;74.0;74.0;74.0;Pittsburgh; PA;Louvain-la-Neuve; Belgium;0;0;5.0;162;0;1;0;0;0
data scientist;4.0;HP Inc.;Company - Public;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;99.0;99.0;99.0;Vancouver; WA;Palo Alto; CA;0;0;7.0;83;1;0;0;0;1
data scientist;4.3;h2o.ai;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;79.0;79.0;79.0;Mountain View; CA;Mountain View; CA;1;1;3.0;11;1;1;0;0;1
na;1.9;GNS Healthcare;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10 to $25 million (USD);-1;0;1;0;0;57.0;57.0;57.0;Cambridge; MA;Cambridge; MA;1;1;2.0;22;1;0;0;0;1
data scientist;3.3;Peraton;Company - Private;Aerospace & Defense;Aerospace & Defense;$1 to $2 billion (USD);-1;0;1;0;0;83.0;83.0;83.0;Chantilly; VA;Herndon; VA;1;0;5.0;5;0;1;0;1;0
data scientist;4.4;Pactera;Company - Private;IT Services;Information Technology;$500 million to $1 billion (USD);Infosys, EPAM, Accenture;0;1;0;0;86.0;86.0;86.0;San Jose; CA;Beijing; China;0;0;7.0;27;0;1;0;0;0
data scientist;3.9;Nurx;Company - Private;Health Care Services & Hospitals;Health Care;$1 to $5 million (USD);-1;0;1;0;0;94.0;94.0;94.0;San Francisco; CA;San Francisco; CA;1;1;2.0;6;0;1;0;1;0
data analyst;4.7;webfx.com;Company - Private;Advertising & Marketing;Business Services;$25 to $50 million (USD);-1;0;1;0;0;37.0;37.0;37.0;Harrisburg; PA;Harrisburg; PA;1;1;3.0;25;0;0;0;1;0
data scientist;4.5;Johns Hopkins University Applied Physics Laboratory;Nonprofit Organization;Aerospace & Defense;Aerospace & Defense;$1 to $2 billion (USD);MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman;0;1;0;0;100.0;100.0;100.0;Laurel; MD;Laurel; MD;1;1;6.0;80;0;1;0;0;0
data analyst;4.3;Productive Edge;Company - Private;Computer Hardware & Software;Information Technology;$10 to $25 million (USD);Numerator, Rise Interactive, Salom;0;1;0;0;55.0;55.0;55.0;Chicago; IL;Chicago; IL;1;1;2.0;14;0;0;0;0;0
data engineer;4.0;Excella Consulting;Company - Private;Consulting;Business Services;$50 to $100 million (USD);-1;0;1;0;0;60.0;60.0;60.0;Arlington; VA;Arlington; VA;1;1;3.0;20;1;1;0;0;0
data analyst;4.4;Gensco;Company - Private;Wholesale;Business Services;$100 to $500 million (USD);-1;0;1;0;0;39.0;39.0;39.0;Tacoma; WA;Tacoma; WA;1;1;4.0;74;0;0;0;0;0
data scientist;3.2;Walmart;Company - Public;Department, Clothing, & Shoe Stores;Retail;$10+ billion (USD);Target, Costco Wholesale, Amazon;0;1;0;0;106.0;106.0;106.0;Plano; TX;Bentonville; AR;0;0;7.0;60;0;0;0;0;0
data scientist;3.8;Logic20/20;Company - Private;Consulting;Business Services;$25 to $50 million (USD);-1;0;1;0;0;86.0;86.0;86.0;San Jose; CA;Seattle; WA;0;0;3.0;17;1;1;0;0;1
data scientist;4.2;goTRG;Company - Private;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD);-1;0;1;0;0;64.0;64.0;64.0;Miami; FL;Miami; FL;1;1;4.0;14;0;1;0;0;0
na;4.5;NMR Consulting;Company - Private;IT Services;Information Technology;$25 to $50 million (USD);-1;0;1;0;0;31.0;31.0;31.0;Huntsville; AL;Chantilly; VA;0;0;2.0;26;0;0;0;0;0
data analyst;3.5;iSeatz;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;34.0;34.0;34.0;New Orleans; LA;New Orleans; LA;1;1;2.0;23;0;0;0;1;0
na;3.5;Nektar Therapeutics;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD);Bristol-Myers Squibb, Merck, GlaxoSmithKline;0;1;0;0;117.0;117.0;117.0;San Francisco; CA;San Francisco; CA;1;1;3.0;32;0;0;0;0;1
data scientist;3.9;TransUnion;Company - Public;Financial Analytics & Research;Finance;$1 to $2 billion (USD);-1;0;1;0;0;64.0;64.0;64.0;Atlanta; GA;Chicago; IL;0;0;6.0;54;0;1;0;0;0
na;4.7;IT Concepts;Company - Private;IT Services;Information Technology;$10 to $25 million (USD);-1;0;1;0;0;79.0;79.0;79.0;Landover; MD;Vienna; VA;0;0;2.0;19;0;0;0;0;0
data analyst;4.2;Scientific Research Corporation;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);-1;0;1;0;0;52.0;52.0;52.0;Patuxent River; MD;Atlanta; GA;0;0;5.0;34;0;0;0;0;0
na;3.4;General Dynamics Information Technology;Subsidiary or Business Segment;IT Services;Information Technology;$10+ billion (USD);SAIC, Leidos, Northrop Grumman;0;1;0;0;55.0;55.0;55.0;Suitland; MD;Fairfax; VA;0;0;7.0;26;0;0;0;0;0
data scientist;3.2;MITRE;Nonprofit Organization;Federal Agencies;Government;$1 to $2 billion (USD);Battelle, General Atomics, SAIC;0;1;0;0;72.0;72.0;72.0;McLean; VA;Bedford; MA;0;0;6.0;64;0;1;0;0;0
data scientist;3.9;The Buffalo Group;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);ManTech, Booz Allen Hamilton, Leidos;0;1;0;0;74.0;74.0;74.0;Fort Belvoir; VA;Reston; VA;1;0;4.0;12;0;1;0;0;0
data analyst;3.1;DentaQuest;Company - Private;Insurance Carriers;Insurance;$2 to $5 billion (USD);MCNA Dental Plans, United Concordia, Delta Dental Plans Association;0;1;0;0;40.0;40.0;40.0;Milwaukee; WI;Boston; MA;0;0;5.0;21;0;0;0;0;0
data scientist;4.1;Redjack;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;102.0;102.0;102.0;Silver Spring; MD;Silver Spring; MD;1;1;;15;0;1;0;1;0
data scientist;3.8;7Park Data;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;89.0;89.0;89.0;New York; NY;New York; NY;1;1;2.0;10;0;1;0;0;0
data scientist;4.7;Rapid Response Monitoring;Company - Private;Security Services;Business Services;Unknown / Non-Applicable;COPS Monitoring, National Monitoring Center, Affiliated Monitoring;0;1;0;0;61.0;61.0;61.0;Syracuse; NY;Syracuse; NY;1;1;4.0;30;0;1;0;0;0
data scientist;4.3;Trilogy Ed;Subsidiary or Business Segment;Education Training Services;Education;Unknown / Non-Applicable;General Assembly, Kaplan University, Ironhack;0;1;0;0;65.0;65.0;65.0;Houston; TX;New York; NY;0;0;5.0;7;0;1;0;1;0
data scientist;4.2;Gallup;Company - Private;Consulting;Business Services;Unknown / Non-Applicable;Advisory Board, Booz Allen Hamilton, McKinsey & Company;0;0;1;0;200.0;200.0;200.0;Washington; DC;Washington; DC;1;1;5.0;87;0;1;0;0;0
data engineer;3.9;CapTech;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);Accenture, North Highland, Deloitte;0;1;0;0;68.0;68.0;68.0;Charlotte; NC;Richmond; VA;0;0;5.0;25;0;1;0;0;0
data scientist;3.3;American Axle & Manufacturing;Company - Public;Transportation Equipment Manufacturing;Manufacturing;$5 to $10 billion (USD);-1;0;1;0;0;80.0;80.0;80.0;Southfield; MI;Detroit; MI;1;0;7.0;28;1;1;0;0;0
data analyst;4.7;CentralReach;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;DataFinch Technologies, Accupoint Software Solution, CodeMetro;0;1;0;0;41.0;41.0;41.0;Matawan; NJ;Pompano Beach; FL;0;0;3.0;10;0;0;0;0;0
data analyst;4.3;Integrate;Company - Private;Enterprise Software & Network Solutions;Information Technology;$25 to $50 million (USD);-1;0;1;0;0;39.0;39.0;39.0;Phoenix; AZ;Phoenix; AZ;1;1;3.0;12;0;0;0;0;0
na;2.9;Boys Town Hospital;Hospital;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;Nebraska Medicine, Children's Hospital & Medical Center, Methodist Health System - NE and IA;0;1;0;0;38.0;38.0;38.0;Omaha; NE;Omaha; NE;1;1;5.0;45;0;0;0;0;0
data scientist;4.5;Demandbase;Company - Private;Computer Hardware & Software;Information Technology;$100 to $500 million (USD);Engagio, Bombora, Terminus;0;1;0;0;121.0;121.0;121.0;San Francisco; CA;San Francisco; CA;1;1;3.0;16;1;0;0;0;0
data engineer;3.4;Sapphire Digital;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;Zocdoc, Healthgrades;0;1;0;0;54.0;54.0;54.0;Lyndhurst; NJ;Lyndhurst; NJ;1;1;3.0;3;0;1;0;1;0
data scientist;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;83.0;83.0;83.0;Cambridge; MA;OSAKA; Japan;0;0;7.0;241;0;1;0;0;1
data scientist;4.6;<intent>;Company - Private;Internet;Information Technology;$100 to $500 million (USD);Clicktripz, SmarterTravel;0;1;0;0;120.0;120.0;120.0;New York; NY;New York; NY;1;1;2.0;13;0;1;0;0;0
